id,name,school_college,url,is_submajor
mathematics--majors-minors-html-mathematics-maj,Mathematics,"College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors.html#mathematics-maj,False
mathematics-of-finance-and-risk-management-sub-major-of-mathematics--mathematics-of-finance-and-risk-management-html,Mathematics of Finance and Risk Management (Sub-major of Mathematics),"College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/math/undergraduates/major-and-minor-programs/mathematics-of-finance-and-risk-management.html,True
mechanical-engineering--undergraduate,Mechanical Engineering,College of Engineering,https://me.engin.umich.edu/admissions/undergraduate/,False
medical-anthropology-sub-major-of-anthropology--majors-minors-html-medical-anthropology-sub,Medical Anthropology (Sub-major of Anthropology),"College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors.html#medical_anthropology-sub,True
microbiology--majors-minors-html-microbiology-maj,Microbiology,"College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors.html#microbiology-maj,False
middle-east-studies--majors-minors-html-near-eastern-studies-maj,Middle East Studies,"College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors.html#near_eastern_studies-maj,False
middle-eastern-and-north-african-studies--majors-minors-html-middle-eastern-and-north-african-studies-maj,Middle Eastern and North African Studies,"College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors.html#middle_eastern_and_north_african_studies-maj,False
molecular-cellular-and-developmental-biology--majors-minors-html,"Molecular, Cellular, and Developmental Biology","College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/biology/undergraduates/majors---minors.html,False
movement-science--undergraduate,Movement Science,School of Kinesiology,https://www.kines.umich.edu/academics/movement-science/undergraduate,False
music--bachelor-of-arts-in-music,Music,"School of Music, Theatre & Dance (SMTD)",https://smtd.umich.edu/degree/bachelor-of-arts-in-music/,False
music-education--undergraduate-degrees-minors,Music Education,"School of Music, Theatre & Dance (SMTD)",https://smtd.umich.edu/admissions/undergraduate/undergraduate-degrees-minors/,False
music-theory,Music Theory,"School of Music, Theatre & Dance (SMTD)",https://smtd.umich.edu/department/music-theory/,False
musical-theatre--undergraduate-degrees-minors,Musical Theatre,"School of Music, Theatre & Dance (SMTD)",https://smtd.umich.edu/admissions/undergraduate/undergraduate-degrees-minors/,False
musicology--undergraduate-degrees-minors,Musicology,"School of Music, Theatre & Dance (SMTD)",https://smtd.umich.edu/admissions/undergraduate/undergraduate-degrees-minors/,False
naval-architecture-and-marine-engineering--academics,Naval Architecture and Marine Engineering,College of Engineering,https://name.engin.umich.edu/home/academics/,False
neuroscience--majors-minors-html-neuroscience-maj,Neuroscience,"College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors.html#neuroscience-maj,False
nuclear-engineering-and-radiological-sciences--undergraduate,Nuclear Engineering and Radiological Sciences,College of Engineering,https://ners.engin.umich.edu/academics/undergraduate/,False
nursing--bsn,Nursing,School of Nursing,https://nursing.umich.edu/academics/BSN,False
organ--undergraduate-degrees-minors,Organ,"School of Music, Theatre & Dance (SMTD)",https://smtd.umich.edu/admissions/undergraduate/undergraduate-degrees-minors/,False
organizational-studies--majors-minors-html-organizational-studies-maj,Organizational Studies,"College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors.html#organizational_studies-maj,False
performing-arts-technology--undergraduate-degrees-minors,Performing Arts Technology,"School of Music, Theatre & Dance (SMTD)",https://smtd.umich.edu/admissions/undergraduate/undergraduate-degrees-minors/,False
pharmaceutical-sciences--bachelors-program-admissions,Pharmaceutical Sciences,College of Pharmacy,https://pharmacy.umich.edu/prospective-students/admissions/bachelors-program-admissions,False
philosophy--majors-minors-html-philosophy-maj,Philosophy,"College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors.html#philosophy-maj,False
philosophy-politics-and-economics--majors-minors-html-philosophy-political-science-economics-maj,"Philosophy, Politics, and Economics","College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors.html#philosophy_political_science_economics-maj,False
physics--majors-minors-html-physics-maj,Physics,"College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors.html#physics-maj,False
piano--undergraduate-degrees-minors,Piano,"School of Music, Theatre & Dance (SMTD)",https://smtd.umich.edu/admissions/undergraduate/undergraduate-degrees-minors/,False
plant-biology--majors-minors-html-plant-biology-maj,Plant Biology,"College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors.html#plant_biology-maj,False
polish--majors-minors-html-polish-maj,Polish,"College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors.html#polish-maj,False
political-economy-and-development-sub-major-of-international-studies--majors-minors-html-political-economy-and-developme,Political Economy and Development (Sub-major of International Studies),"College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors.html#political_economy_and_development_ped-sub,True
political-science--majors-minors-html-political-science-maj,Political Science,"College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors.html#political_science-maj,False
politics-law-and-economy-sub-major-of-anthropology--majors-minors-html-politics-law-and-economy-sub,"Politics, Law, and Economy (Sub-major of Anthropology)","College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors.html#politics_law_and_economy-sub,True
power-identity-and-inequality-sub-major-of-anthropology--majors-minors-html-power-identity-and-inequality-sub,"Power, Identity, and Inequality (Sub-major of Anthropology)","College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors.html#power_identity_and_inequality-sub,True
psychology--majors-minors-html-psychology-general-social-science-maj,Psychology,"College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors.html#psychology_general_social_science-maj,False
public-health-sciences--phs,Public Health Sciences,School of Public Health,https://sph.umich.edu/undergrad/apply/#phs,False
public-policy--ba,Public Policy,Ford School of Public Policy,https://fordschool.umich.edu/admissions/ba,False
pure-mathematics-sub-major-of-mathematics--pure-mathematics-html,Pure Mathematics (Sub-major of Mathematics),"College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/math/undergraduates/major-and-minor-programs/pure-mathematics.html,True
robotics--robotics-umich-edu,Robotics,College of Engineering,https://robotics.umich.edu,False
romance-languages-and-literatures--majors-minors-html-romance-languages-and-literatures-maj,Romance Languages and Literatures,"College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors.html#romance_languages_and_literatures-maj,False
russian--majors-minors-html-russian-maj,Russian,"College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors.html#russian-maj,False
russian-east-european-and-eurasian-studies--majors-minors-html-russian-east-european-and-eurasian-studies-maj,"Russian, East European, and Eurasian Studies","College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors.html#russian_east_european_and_eurasian_studies-maj,False
screenwriting-sub-major-of-film-television-and-media--majors-minors-html-screenwriting-sub,"Screenwriting (Sub-major of Film, Television, and Media)","College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors.html#screenwriting-sub,True
secondary-mathematics-teaching-certificate-sub-major-of-mathematics--secondary-mathematics-teaching-certificate-html,Secondary Mathematics Teaching Certificate (Sub-major of Mathematics),"College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/math/undergraduates/major-and-minor-programs/secondary-mathematics-teaching-certificate.html,True
secondary-teacher-education--bachelors,Secondary Teacher Education,Marsal Family School of Education,https://marsal.umich.edu/academics-admissions/degrees/bachelors,False
social-theory-and-practice-administered-by-the-residential-college--social-theory-and-practice-stp-html,Social Theory and Practice (Administered by the Residential College),"College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/rc/curriculum/social-theory-and-practice--stp-.html,False
sociology--majors-minors-html-sociology-maj,Sociology,"College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors.html#sociology-maj,False
sociology-and-social-work-sub-major-of-sociology--majors-minors-html-sociology-and-social-work-sub,Sociology and Social Work (Sub-major of Sociology),"College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors.html#sociology_and_social_work-sub,True
sociology-of-health-and-medicine-sub-major-of-sociology--majors-minors-html-health-and-society-sub,Sociology of Health and Medicine (Sub-major of Sociology),"College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors.html#health-and-society-sub,True
south-asian-studies-sub-major-of-asian-studies--majors-minors-html-asian-studies-maj,South Asian Studies (Sub-major of Asian Studies),"College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors.html#asian_studies-maj,True
southeast-asian-studies-sub-major-of-asian-studies--majors-minors-html-asian-studies-maj,Southeast Asian Studies (Sub-major of Asian Studies),"College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors.html#asian_studies-maj,True
space-sciences-and-engineering--bse-space-science-engineering,Space Sciences and Engineering,College of Engineering,https://clasp.engin.umich.edu/academics/undergraduate-studies/bse-space-science-engineering/,False
spanish--majors-minors-html-spanish-maj,Spanish,"College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors.html#spanish-maj,False
sport-management--undergraduate,Sport Management,School of Kinesiology,https://www.kines.umich.edu/academics/sport-management/undergraduate,False
statistics--majors-minors-html-statistics-maj,Statistics,"College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors.html#statistics-maj,False
strings--undergraduate-degrees-minors,Strings,"School of Music, Theatre & Dance (SMTD)",https://smtd.umich.edu/admissions/undergraduate/undergraduate-degrees-minors/,False
structural-biology-sub-major-of-biophysics--structural-biology-sub-major-html,Structural Biology (Sub-major of Biophysics),"College of Literature, Science, and the Arts (LSA)",https://lsa.umich.edu/lsa/academics/majors-minors/structural-biology-sub-major.html,True
theatre-drama--undergraduate-degrees-minors,Theatre & Drama,"School of Music, Theatre & Dance (SMTD)",https://smtd.umich.edu/admissions/undergraduate/undergraduate-degrees-minors/,False
